name;birthrate;gdp;capita
Suriname;2.37;2988;4843
Slovakia;1.5;118434;21665
Slovenia;1.6;63647;30159
Sweden;1.7;621241;57978
Swaziland;0;0;0
Sint Maarten;1.99;857;20000
Seychelles;2.29;1750;17693
Syria;2.73;60043;2807
Turks and Caicos Is.;1.7;925;23881
Chad;5.65;12938;743
Togo;4.3;8699;1000
Thailand;1.4;522012;7449
Tajikistan;3.5;7820;795
Turkmenistan;2.7;76591;12274
Timor-Leste;3.85;1920;1402
Tonga;3.48;528;5283
Trinidad and Tobago;1.7;25342;17921
Tunisia;2.15;45642;3763
Turkey;2.04;692380;8081
Taiwan;1.2;841209;36051
Tanzania;4.8;77506;1260
Uganda;5;46377;1060
Ukraine;1.1;198316;4828
Uruguay;1.96;64283;18083
United States;1.7;25346805;76027
Uzbekistan;2.21;73060;2071
Vatican;0;0;0
St. Vin. and Gren.;1.9;953;8595
Venezuela;2.22;49086;1824
British Virgin Is.;1.35;1492;49357
U.S. Virgin Is.;2;0;0
Vietnam;2.1;408947;4122
Vanuatu;0;0;0
Wallis and Futuna Is.;0;0;0
Samoa;3.83;816;4059
Yemen;3.69;28134;891
South Africa;2.38;426166;6979
Zambia;4.5;26665;1330
Zimbabwe;3.46;36387;2301
